transaction_id,customer_name,email,total_amount,product_name,price,total_sold,revenue_generated,payment_method,transaction_date,store_location,category,discount_applied,delivery_status,customer_rating,return_requested,customer_segment,coupon_used,profit
TXN-2018,Gerald Hensley,jameswest@white-ford.com,556.31,Smart Refrigerator,541.96,,541.96,Cash,07-10-2024 09:26,Kolkata,Home Appliances,5,Pending,2,Yes,,No,541.96
TXN-2019,Savannah Garcia,housemelinda@russell.com,1078.82,Office Desk,343.29,3,1029.87,Credit Card,30-08-2025 19:08,Jaipur,Furniture,5,Delivered,,No,Regular,Yes,0
TXN-2020,Anthony Gray,sara74@yahoo.com,616.29,Jacket,141.39,4,565.56,Cash,22-04-2025 06:17,,Fashion,10,,1,No,New,No,0
TXN-2021,Whitney Peters,jamesrobinson@gmail.com,443.75,Lipstick,344.18,,344.18,PayPal,21-01-2025 01:35,Jaipur,Beauty,10,Pending,3,Yes,Regular,No,344.18
TXN-2022,Amy Edwards,hshaw@brown.com,184.91,Broom,58.16,3,174.48,PayPal,20-08-2025 11:03,Jaipur,Household,10,Delivered,5,Yes,Premium,Yes,0
TXN-2023,Kurt Leonard,kwilson@riley.org,170.74,Cushion Cover,63.69,2,127.38,PayPal,31-12-2023 21:10,Pune,Home Decor,0,Delivered,4,No,,No,0
TXN-2024,Kevin Mills,elizabethedwards@yahoo.com,804.19,Laundry Basket,259.93,3,779.79,,31-08-2024 14:52,Kolkata,Household,15,Cancelled,4,Yes,New,No,0
TXN-2025,Matthew Bryant,ellisyolanda@jones.net,749.8,Notebook,743.92,1,743.92,PayPal,22-05-2024 04:35,Delhi,Stationery,5,Pending,5,No,Premium,No,0
TXN-2026,Gregory Jones,justin78@turner.net,2145.93,Vacuum Cleaner,704.62,3,2113.86,Cash,04-11-2023 06:43,,Home Appliances,20,Delivered,,No,New,No,0
TXN-2027,Kristen Huynh,josephpreston@tran.com,1533.62,Air Conditioner,751.75,2,1503.5,Credit Card,04-04-2024 08:13,,Home Appliances,10,Cancelled,3,No,Premium,No,0
TXN-2028,Sarah Wagner,davisrodney@yahoo.com,256.87,Pen Set,170.84,,170.84,PayPal,02-12-2023 10:43,Jaipur,Stationery,20,Delivered,1,No,Loyal,No,170.84
TXN-2029,Ray Walsh,,91.13,Wireless Mouse,12.8,2,25.6,UPI,06-01-2025 20:57,Bangalore,Electronics,,,5,Yes,Regular,Yes,0
TXN-2030,Benjamin Ware,davenportbrandi@jordan.com,3628.92,Power Bank,724.1,5,3620.5,UPI,07-08-2024 10:29,,Electronics,10,,2,Yes,New,No,0
TXN-2031,Rebecca Valencia,evelynestrada@yahoo.com,1510.1,Wireless Mouse,720.15,2,1440.3,,26-06-2025 03:18,Delhi,Electronics,25,,5,No,Premium,Yes,0
TXN-2032,Shelly Dickson,michellecherry@keith.com,1651.13,Running Shoes,781.2,2,1562.4,Credit Card,23-05-2025 07:26,Bangalore,Sportswear,25,,,No,Premium,No,0
TXN-2033,Rachel Jenkins,erik16@garrison.com,673.37,Running Shoes,632.03,1,632.03,Credit Card,24-07-2025 11:10,Jaipur,Sportswear,15,Pending,4,No,New,Yes,0
TXN-2034,Hannah Hoover,andrewlee@ramirez-jones.com,100.23,T-shirt,28.69,2,57.38,UPI,27-07-2024 22:43,Delhi,Fashion,20,Cancelled,,No,Loyal,No,0
TXN-2035,Jennifer Zavala,,287.57,Broom,271.61,1,271.61,UPI,22-01-2025 03:52,Bangalore,Household,20,,1,No,Loyal,No,0
TXN-2036,Deborah Rodriguez,jessica56@hotmail.com,1789.74,Notebook,354.75,5,1773.75,PayPal,29-11-2024 10:30,Pune,Stationery,20,Delivered,,No,Regular,No,0
TXN-2037,Steven Lee,zsmith@mcdaniel.com,627.64,Broom,552.62,,552.62,Debit Card,07-08-2024 02:28,Kolkata,Household,30,Delivered,,No,,No,552.62
TXN-2038,Travis Mccall,cortezkevin@yahoo.com,770.43,Router,679.93,,679.93,PayPal,30-03-2025 04:40,Chennai,Electronics,30,Cancelled,4,No,New,No,679.93
TXN-2039,James Phillips,robertbentley@adkins.biz,255.88,Office Desk,161.55,,161.55,,27-12-2024 19:10,Bangalore,Furniture,20,,5,Yes,New,No,161.55
TXN-2040,Elizabeth Clark,rramos@gmail.com,1810.68,Leather Wallet,349.61,5,1748.05,UPI,29-11-2024 05:51,Jaipur,Fashion,,,,Yes,,No,0
TXN-2041,Steven Flynn,campbellelizabeth@rogers.com,1645.44,Running Shoes,530.49,3,1591.47,,20-04-2024 16:29,Kolkata,Sportswear,5,Pending,,No,Premium,No,0
TXN-2042,Brittany Williams,gibsonolivia@hotmail.com,157.07,Ergonomic Chair,29.3,2,58.6,PayPal,28-03-2024 05:25,Delhi,Furniture,,,,No,Premium,No,0
TXN-2043,Janet Ross,staffordmichelle@osborne.com,1281.54,Power Bank,313.34,4,1253.36,,14-07-2025 18:35,Mumbai,Electronics,5,,2,Yes,,No,0
TXN-2044,Kelly Williams,bryantlaurie@schmidt.info,498.71,Smart Refrigerator,450.35,1,450.35,Cash,16-02-2025 01:33,,Home Appliances,25,,5,No,,No,0
TXN-2045,Stephanie Simmons,juliawells@yahoo.com,800.19,Mop,362.27,2,724.54,Cash,04-06-2025 03:01,Jaipur,Household,,Pending,,No,,No,0
TXN-2046,Mark Cannon,joshuajones@yahoo.com,808.36,Table Cloth,199,4,796,UPI,28-04-2024 08:10,Pune,Home Decor,20,Cancelled,3,No,Regular,Yes,0
TXN-2047,Francisco Fernandez,jessebenson@lewis.info,212.22,Ergonomic Chair,192.7,,192.7,Debit Card,16-09-2024 03:29,Delhi,Furniture,30,,3,No,Loyal,No,192.7
TXN-2048,Ross Price,wwoods@molina-castaneda.biz,735.6,Smart Refrigerator,173.4,4,693.6,PayPal,20-12-2024 06:02,Mumbai,Home Appliances,,,1,No,New,No,0
TXN-2049,Kimberly Morrison,brobinson@johnson-rogers.biz,492.07,Baby Stroller,435.19,,435.19,PayPal,13-05-2025 16:36,Pune,Baby Products,,Pending,3,No,Loyal,Yes,435.19
TXN-2050,John Anderson,qvargas@miller.com,356.36,Handbag,275.54,,275.54,,01-09-2025 12:10,Bangalore,Accessories,,Pending,5,No,Regular,No,275.54
TXN-2051,Anthony Gray,wmurphy@ramirez-bean.biz,468.85,Wall Clock,455.87,1,455.87,Cash,12-05-2024 03:34,Bangalore,Home Decor,,Pending,1,No,Loyal,No,0
TXN-2052,Julie Curry,jeffrey10@herring.com,1184.95,Leather Wallet,369.21,3,1107.63,Cash,22-02-2025 19:25,Chennai,Fashion,30,Cancelled,1,No,Regular,No,0
TXN-2053,Cameron Caldwell,xlyons@jackson-lawson.com,179.75,Broom,51.15,3,153.45,Credit Card,24-06-2025 07:58,Mumbai,Household,0,Pending,2,Yes,,Yes,0
TXN-2054,Traci Rodriguez,barbara66@gonzalez.com,125.58,Jacket,109.71,,109.71,Debit Card,16-01-2024 08:28,Jaipur,Fashion,20,Cancelled,2,No,,No,109.71
TXN-2055,Elizabeth Sutton,reedross@jones-holland.com,1345.57,LED Lamp,624.46,2,1248.92,Credit Card,19-08-2025 02:07,Mumbai,Furniture,20,,4,No,Premium,Yes,0
TXN-2056,John Hamilton,,583.66,Wall Clock,555.59,,555.59,,21-05-2025 03:49,Chennai,Home Decor,5,Delivered,3,No,Loyal,No,555.59
TXN-2057,Marie Gilbert,ugraham@hotmail.com,101.9,Wrist Watch,64.48,,64.48,Cash,24-05-2024 16:08,Jaipur,Accessories,5,,3,No,Loyal,No,64.48
TXN-2058,David Michael,dsanchez@hotmail.com,408.6,Ergonomic Chair,354.03,,354.03,,14-02-2025 06:17,Chennai,Furniture,,,4,No,,No,354.03
TXN-2059,Gabrielle Snyder,tonykelly@yahoo.com,714.35,Notebook,682.85,1,682.85,Cash,19-07-2024 13:16,Pune,Stationery,,,3,Yes,Loyal,No,0
TXN-2060,Kyle Beard,christophercortez@peters-allen.info,1266.27,Dumbbell Set,395.16,3,1185.48,UPI,13-03-2025 21:23,Chennai,Sportswear,20,Delivered,5,Yes,Regular,Yes,0
TXN-2061,Joan Smith,richardsanchez@hotmail.com,862.57,Baby Stroller,395.98,2,791.96,,22-01-2025 21:52,Jaipur,Baby Products,,Delivered,1,No,Premium,No,0
TXN-2062,Juan Cooper,jacqueline44@yahoo.com,262.46,Power Bank,202.21,,202.21,Cash,25-04-2024 06:25,,Electronics,25,,,No,New,No,202.21
TXN-2063,Corey Wilson,javierwashington@lawrence.com,1134.26,Power Bank,368.46,3,1105.38,Credit Card,05-08-2025 22:12,Pune,Electronics,25,Delivered,,No,Premium,Yes,0
TXN-2064,Darren White,joshuamccann@carter.info,1854.34,Leather Wallet,593.5,3,1780.5,PayPal,16-01-2024 21:15,Chennai,Fashion,5,Pending,3,Yes,New,Yes,0
TXN-2065,Laura Harrison,jack04@yahoo.com,122.93,Hair Serum,21.18,5,105.9,Credit Card,25-01-2024 19:37,Mumbai,Beauty,20,Pending,,No,Regular,Yes,0
TXN-2066,Jennifer Jones,edwardhart@miller-wright.net,985.36,Curtains,234.63,4,938.52,Debit Card,13-06-2025 23:08,Mumbai,Home Decor,20,,1,Yes,Loyal,No,0
TXN-2067,Kyle Montgomery,tkerr@hotmail.com,475.94,Vacuum Cleaner,465.85,,465.85,Debit Card,26-09-2024 06:51,Chennai,Home Appliances,5,Pending,1,No,Loyal,No,465.85
TXN-2068,Marc Lynch,colleenbaker@moore.net,1348.07,Cushion Cover,634.69,2,1269.38,Cash,26-12-2023 12:12,Jaipur,Home Decor,,Cancelled,5,No,New,No,0
TXN-2069,Jason Norris,antonio44@hotmail.com,72.01,Candles Set,57.58,,57.58,Debit Card,26-08-2025 21:07,Pune,Home Decor,20,Delivered,2,Yes,Premium,No,57.58
TXN-2070,Michael Bradshaw,owilson@hernandez.com,582.44,Vacuum Cleaner,133.66,4,534.64,PayPal,06-03-2024 01:54,Jaipur,Home Appliances,20,Delivered,2,No,New,No,0
TXN-2071,Linda Holloway,smartinez@yahoo.com,225.23,Olive Oil,66.23,2,132.46,,24-04-2025 16:52,Pune,Groceries,30,Delivered,5,Yes,Premium,No,0
TXN-2072,Dillon Fernandez,georgepamela@hotmail.com,213.12,Ergonomic Chair,66.41,2,132.82,PayPal,05-07-2024 13:24,Chennai,Furniture,,Delivered,4,No,New,No,0
TXN-2073,Allison Perez,barbara27@pearson.org,3829.85,Sunglasses,754.71,5,3773.55,Cash,01-10-2024 18:22,Delhi,Accessories,0,,,No,,No,0
TXN-2074,Katherine Davis,qcook@gmail.com,166.57,Bluetooth Speaker,82.15,,82.15,PayPal,25-08-2025 10:11,Mumbai,Electronics,20,Delivered,,No,,No,82.15
TXN-2075,Jason Simpson,gibsonleonard@yahoo.com,1567.11,Organic Soap,733.7,2,1467.4,Cash,27-01-2024 05:49,Jaipur,Groceries,5,,3,No,New,No,0
TXN-2076,Jennifer Robertson,mgutierrez@cox.com,221.59,Router,92.63,2,185.26,,04-04-2024 07:29,Jaipur,Electronics,20,,5,Yes,Loyal,Yes,0
TXN-2077,Carlos Roberts,,306.57,Notebook,209.4,1,209.4,Cash,02-05-2025 12:12,,Stationery,0,,4,Yes,Premium,No,0
TXN-2078,Juan Tran,,2071.93,Wrist Watch,501.88,4,2007.52,Credit Card,19-11-2024 07:17,Pune,Accessories,20,Pending,,No,Loyal,Yes,0
TXN-2079,Dorothy Thornton,pbaird@yahoo.com,3974.88,Bluetooth Speaker,778.79,5,3893.95,,30-12-2024 09:13,Bangalore,Electronics,20,Delivered,5,No,Regular,Yes,0
TXN-2080,Connor Greene,hillkristy@morgan-french.com,441.07,LED Lamp,374.54,1,374.54,Debit Card,27-07-2025 13:02,Jaipur,Furniture,20,Cancelled,4,No,Loyal,Yes,0
TXN-2081,Nicholas Monroe,seanwashington@yahoo.com,1805.11,Olive Oil,445.5,4,1782,PayPal,30-12-2024 21:22,,Groceries,10,Delivered,3,No,New,No,0
TXN-2082,Jamie Cantu,ashleyhall@williams-garner.biz,2048.66,Perfume,658.23,3,1974.69,PayPal,24-08-2024 01:55,Jaipur,Beauty,10,,5,No,New,No,0
TXN-2083,Rebecca Pearson MD,waynelawrence@sawyer.com,2498.94,Mop,612.67,4,2450.68,UPI,10-12-2024 17:19,Pune,Household,15,,2,No,Regular,No,0
TXN-2084,Alexis Thomas,harrisontanya@hanson-sanders.com,2310.2,Pasta Pack,567.13,4,2268.52,,20-08-2025 18:56,Bangalore,Groceries,,Delivered,2,No,,No,0
TXN-2085,Michael Ferguson,cbrennan@hotmail.com,2816.91,Air Conditioner,700.61,4,2802.44,Cash,21-12-2023 08:20,Mumbai,Home Appliances,10,,,Yes,Regular,No,0
TXN-2086,Michael Mitchell,hamiltoncorey@padilla.com,320.22,Sneakers,277.46,,277.46,Credit Card,29-09-2025 21:56,Kolkata,Fashion,30,Cancelled,,No,Loyal,No,277.46
TXN-2087,Frederick Brown,ryan38@yahoo.com,1060.54,Wireless Mouse,497.79,2,995.58,UPI,10-01-2025 18:33,Pune,Electronics,5,,1,No,Regular,No,0
TXN-2088,Catherine Thompson,tyleraguilar@gmail.com,567.63,Running Shoes,558.26,1,558.26,Credit Card,21-10-2024 09:20,Chennai,Sportswear,25,Cancelled,4,Yes,Premium,No,0
TXN-2089,Julia Estrada,erica21@yahoo.com,935.31,Baby Stroller,457.08,2,914.16,Credit Card,23-07-2024 14:42,Hyderabad,Baby Products,15,,5,Yes,Premium,No,0
TXN-2090,Elizabeth Hayden DDS,james67@gmail.com,700.27,Table Cloth,210.64,3,631.92,Cash,30-04-2024 10:43,Chennai,Home Decor,10,Delivered,4,No,,No,0
TXN-2091,Ian Phillips,spencedominique@yahoo.com,798.76,Table Cloth,770,,770,UPI,04-11-2023 11:50,Pune,Home Decor,30,,1,Yes,Loyal,No,770
TXN-2092,Melissa Garner,swall@lawson.com,497.15,Planner,464.1,,464.1,,06-03-2025 16:18,Hyderabad,Stationery,20,Delivered,5,No,Regular,No,464.1
TXN-2093,David Campos,bergerdebbie@kramer-johnson.com,2082.52,Detergent,667.94,3,2003.82,Debit Card,20-05-2025 01:04,Kolkata,Household,15,Pending,5,No,Premium,No,0
TXN-2094,Theodore Murphy,jamesbuchanan@yahoo.com,732.44,Air Conditioner,723.69,,723.69,Cash,14-12-2024 12:41,Mumbai,Home Appliances,25,Pending,1,No,New,No,723.69
TXN-2095,Denise Martin,julie51@yahoo.com,377.24,Baby Stroller,148.76,2,297.52,UPI,26-12-2023 16:34,,Baby Products,20,Pending,3,No,New,No,0
TXN-2096,Vincent Dalton,christopher60@yahoo.com,2677.83,Pen Set,645.34,4,2581.36,Debit Card,18-12-2024 23:19,Pune,Stationery,30,Cancelled,1,No,Regular,No,0
TXN-2097,Jacob Curry,xcarson@gmail.com,391.84,Broom,107.64,3,322.92,,05-04-2025 08:45,Chennai,Household,30,Cancelled,1,No,Premium,No,0
TXN-2098,Alexander Henson,deborahreid@yahoo.com,2533.36,Bluetooth Speaker,499.44,5,2497.2,PayPal,04-10-2025 13:06,Pune,Electronics,5,,,No,Loyal,No,0
TXN-2099,Marie Wilson,torrestravis@young.com,79.73,Office Desk,45.82,1,45.82,Cash,26-08-2024 01:46,Delhi,Furniture,5,Pending,5,Yes,Loyal,No,0
TXN-2100,Michael Paul,nicolepena@yahoo.com,610.85,Wrist Watch,539.68,,539.68,PayPal,18-02-2025 09:28,Hyderabad,Accessories,10,,,Yes,Loyal,No,539.68
TXN-2101,Trevor Johnson,scottsampson@yahoo.com,2263.66,Baby Stroller,751.85,3,2255.55,UPI,14-01-2024 08:59,Pune,Baby Products,,,2,No,Regular,No,0
TXN-2102,Mrs. Stephanie Newman,hhill@davis-lewis.org,479.2,Wrist Watch,440.13,,440.13,Cash,14-11-2023 19:01,Chennai,Accessories,15,Delivered,4,Yes,Premium,No,440.13
TXN-2103,Gavin Zhang,gallegosangela@robinson.com,491.55,Table Cloth,481.75,1,481.75,UPI,02-07-2025 18:16,Pune,Home Decor,10,Pending,1,No,Premium,No,0
TXN-2104,April Garrison,amberlindsey@guerrero.com,1340.83,Leather Wallet,652.31,2,1304.62,Debit Card,09-11-2023 17:54,Mumbai,Fashion,20,Pending,2,No,New,Yes,0
TXN-2105,Richard Chapman,josephmartinez@fox-reese.info,549.76,LED Lamp,532.24,1,532.24,UPI,11-10-2024 09:20,Pune,Furniture,25,Delivered,2,No,Regular,Yes,0
TXN-2106,Kayla Rodriguez,acostaregina@boyd.com,436.65,Baby Stroller,425.61,,425.61,Cash,04-11-2024 05:45,Kolkata,Baby Products,5,,5,Yes,,Yes,425.61
TXN-2107,Jessica Rodriguez,lammarc@gmail.com,1753.92,Router,421.95,4,1687.8,Credit Card,19-12-2023 05:17,Mumbai,Electronics,,,4,No,Regular,No,0
TXN-2108,Marcus Richards,hvang@yahoo.com,103.66,Organic Soap,68.06,1,68.06,Debit Card,15-10-2024 14:45,Delhi,Groceries,10,Cancelled,5,No,,No,0
TXN-2109,Jessica Mcguire,russellbeasley@morgan-chavez.biz,1609.95,Notebook,310.91,5,1554.55,Cash,17-05-2025 21:51,,Stationery,30,Delivered,,Yes,,No,0
TXN-2110,Jeffery Ortega,gloriawells@gmail.com,743.83,Leather Wallet,349.76,2,699.52,Cash,05-08-2025 06:14,Hyderabad,Fashion,30,Delivered,3,No,New,No,0
TXN-2111,Jeffrey Garner,angelawillis@hotmail.com,681.65,Sneakers,305.7,2,611.4,Cash,07-01-2025 11:25,Delhi,Fashion,5,Delivered,1,No,Regular,No,0
TXN-2112,Bryan Gomez,schmittcaroline@yahoo.com,3267.2,Wrist Watch,651.3,5,3256.5,PayPal,17-01-2024 16:08,,Accessories,25,Delivered,4,No,Loyal,No,0
TXN-2113,Christy Douglas,bellangela@farmer.com,3909.83,Smart Refrigerator,775.03,5,3875.15,Credit Card,17-07-2025 04:35,,Home Appliances,15,Pending,,No,Premium,Yes,0
TXN-2114,Justin Saunders,anthony44@bell-white.com,2049.46,Planner,677.85,3,2033.55,UPI,11-01-2025 01:52,Pune,Stationery,30,Delivered,5,No,New,Yes,0
TXN-2115,Andrea Figueroa,reesejason@chavez-moore.com,770.19,Dumbbell Set,225.88,3,677.64,UPI,11-05-2025 16:24,Mumbai,Sportswear,10,Pending,5,No,Loyal,Yes,0
TXN-2116,Todd Carlson,ericwilliamson@miller.org,609.09,Ergonomic Chair,595.37,1,595.37,PayPal,06-10-2024 13:11,Pune,Furniture,30,,4,No,Premium,No,0
TXN-2117,Daniel Hunt,rrodriguez@hotmail.com,2961.94,Hair Serum,580.06,5,2900.3,Credit Card,31-01-2025 21:42,Bangalore,Beauty,10,Delivered,,Yes,New,No,0
TXN-2118,Mr. Andrew Foster,harrissierra@duran.com,1771.84,Router,344.97,5,1724.85,UPI,30-01-2024 09:33,Pune,Electronics,5,Cancelled,4,Yes,New,No,0
TXN-2119,Paul Thompson,vincentwhitaker@yahoo.com,2461.28,Keyboard,478.58,5,2392.9,Credit Card,24-12-2023 04:28,Pune,Electronics,30,Delivered,1,Yes,New,Yes,0
TXN-2120,Patrick Graham,,1877.24,Office Desk,613.69,3,1841.07,Credit Card,07-09-2024 07:52,Jaipur,Furniture,,Pending,2,No,,No,0
TXN-2121,Jennifer Wilson,george97@gillespie.com,486.8,T-shirt,405.21,,405.21,Credit Card,01-10-2024 14:29,Hyderabad,Fashion,0,,1,No,Regular,No,405.21
TXN-2122,Kelly Foster,jeffrey21@hotmail.com,1468.92,Curtains,349.13,4,1396.52,Cash,04-03-2025 01:03,Chennai,Home Decor,5,,1,No,Premium,No,0
TXN-2123,Jordan Bullock,jessica23@gmail.com,2015.27,Olive Oil,667.3,3,2001.9,Credit Card,19-02-2024 22:48,Pune,Groceries,30,,5,Yes,Loyal,No,0
TXN-2124,Christopher Hernandez,stephanieburton@webster-wolf.info,382.34,Pen Set,185.04,2,370.08,,10-04-2025 06:08,Delhi,Stationery,15,Cancelled,3,No,Premium,Yes,0
TXN-2125,Kristy Reid,edward17@yahoo.com,272.86,Air Conditioner,125.69,2,251.38,Debit Card,02-03-2025 14:45,Delhi,Home Appliances,10,,4,No,,No,0
TXN-2126,Donald Brown,steven00@decker-jones.com,3766.48,Keyboard,740.08,5,3700.4,PayPal,17-02-2025 21:28,Kolkata,Electronics,25,Pending,4,Yes,Loyal,No,0
TXN-2127,Janice Carpenter,kstout@lopez.com,808.87,Table Cloth,249.23,3,747.69,UPI,13-10-2024 03:15,,Home Decor,5,Cancelled,4,No,Regular,Yes,0
TXN-2128,Steven Cooper,benjaminzimmerman@warren-bishop.com,733.28,Wrist Watch,667.04,1,667.04,Credit Card,13-08-2024 19:21,,Accessories,30,,5,No,Regular,No,0
TXN-2129,Jasmine Schroeder,cameron18@hughes.org,1637.33,Curtains,524.95,3,1574.85,PayPal,06-09-2025 12:00,Bangalore,Home Decor,0,,1,No,Regular,No,0
TXN-2130,Brad Alvarado,tammy62@hotmail.com,364.86,Smartphone,146.32,2,292.64,Cash,01-05-2025 18:30,,Electronics,10,Cancelled,3,No,Loyal,No,0
TXN-2131,Emily Bennett,elizabethcalderon@hotmail.com,626.31,Pen Set,546.33,1,546.33,,13-04-2025 13:56,Kolkata,Stationery,5,Cancelled,,No,Loyal,No,0
TXN-2132,Anna Santiago,coxhenry@gmail.com,678.37,Sneakers,581.75,,581.75,PayPal,20-07-2024 15:14,Bangalore,Fashion,25,Delivered,5,No,Premium,No,581.75
TXN-2133,Katelyn Perez,chrisrichard@romero.net,842.38,Hair Serum,774.48,,774.48,Debit Card,27-11-2023 12:33,Delhi,Beauty,20,,,No,Premium,No,774.48
TXN-2134,Sherri Williamson,francisguerra@hotmail.com,764.61,Power Bank,664.88,,664.88,PayPal,18-07-2025 14:33,Delhi,Electronics,30,Cancelled,1,No,New,Yes,664.88
TXN-2135,Michelle Williams,tarabishop@hotmail.com,1143.12,Leather Wallet,279.97,4,1119.88,Debit Card,28-06-2025 23:59,Bangalore,Fashion,5,Cancelled,1,No,,No,0
TXN-2136,Joseph Collins,michealvalentine@yahoo.com,207.72,Laundry Basket,39.82,3,119.46,PayPal,21-10-2024 19:13,Bangalore,Household,30,Pending,2,Yes,,Yes,0
TXN-2137,Paula Shaw,lisasolis@gmail.com,202.81,Organic Soap,44.52,3,133.56,Debit Card,06-09-2025 06:49,Jaipur,Groceries,20,,2,No,Premium,No,0
TXN-2138,Martin Sawyer,mitchellkathryn@cole-palmer.biz,1488.22,Pasta Pack,724.14,2,1448.28,PayPal,08-01-2024 10:33,Jaipur,Groceries,,Cancelled,4,No,,No,0
TXN-2139,Courtney Hayes,,3294.85,Running Shoes,655.34,5,3276.7,UPI,29-04-2024 08:06,Mumbai,Sportswear,,Cancelled,5,Yes,,Yes,0
TXN-2140,Brad Walker,combsdebra@gmail.com,183.44,Lipstick,76.26,2,152.52,PayPal,13-02-2024 01:56,Bangalore,Beauty,30,Delivered,2,No,New,Yes,0
TXN-2141,Thomas Kennedy,awest@smith.com,300.88,Baby Stroller,52.07,5,260.35,Cash,28-12-2024 11:20,Delhi,Baby Products,25,Pending,1,No,Regular,No,0
TXN-2142,Lisa Henderson,kevinwilliams@yahoo.com,567.83,Smartphone,274.88,2,549.76,UPI,08-03-2025 11:48,Jaipur,Electronics,10,,4,No,Regular,Yes,0
TXN-2143,Joyce Rodriguez,chenbailey@hotmail.com,481.5,Bluetooth Speaker,212.18,2,424.36,,17-02-2024 17:21,,Electronics,30,Delivered,3,Yes,New,Yes,0
TXN-2144,Aaron Gomez,elizabethmiller@yahoo.com,278.79,Smart Refrigerator,198.37,,198.37,Cash,20-12-2023 18:31,Delhi,Home Appliances,5,,5,No,Regular,No,198.37
TXN-2145,Kimberly Hartman,cmarks@hughes.com,482.93,Dish Soap,464.29,,464.29,Cash,02-07-2025 15:58,Mumbai,Household,25,Pending,5,No,Premium,No,464.29
TXN-2146,David Sandoval,dennis58@li-thompson.info,244.35,Router,77.64,3,232.92,PayPal,21-04-2025 07:53,,Electronics,0,,4,Yes,Loyal,No,0
TXN-2147,Clarence Taylor,carterbradley@gmail.com,1881.05,Sneakers,600.38,3,1801.14,UPI,16-09-2025 05:13,Pune,Fashion,5,Cancelled,2,Yes,New,No,0
