transaction_id,customer_name,email,total_amount,product_name,price,total_sold,revenue_generated,payment_method,transaction_date,store_location,category,discount_applied,delivery_status,customer_rating,return_requested,customer_segment,coupon_used
TXN-2021,Whitney Peters,jamesrobinson@gmail.com,443.75,Lipstick,344.18,,344.18,PayPal,2025-01-21 01:35:39,Jaipur,Beauty,10.0,Pending,3.0,Yes,Regular,
TXN-2022,Amy Edwards,hshaw@brown.com,184.91,Broom,58.16,3.0,174.48,PayPal,2025-08-20 11:03:59,Jaipur,Household,10.0,Delivered,5.0,Yes,Premium,Yes
TXN-2023,Kurt Leonard,kwilson@riley.org,170.74,Cushion Cover,63.69,2.0,127.38,PayPal,2023-12-31 21:10:21,Pune,Home Decor,0.0,Delivered,4.0,,,
TXN-2024,Kevin Mills,elizabethedwards@yahoo.com,804.19,Laundry Basket,259.93,3.0,779.79,,2024-08-31 14:52:26,Kolkata,Household,15.0,Cancelled,4.0,Yes,New,No
TXN-2025,Matthew Bryant,ellisyolanda@jones.net,749.8,Notebook,743.92,1.0,743.92,PayPal,2024-05-22 04:35:06,Delhi,Stationery,5.0,Pending,5.0,No,Premium,No
TXN-2026,Gregory Jones,justin78@turner.net,2145.93,Vacuum Cleaner,704.62,3.0,2113.86,Cash,2023-11-04 06:43:27,,Home Appliances,20.0,Delivered,,,New,
TXN-2027,Kristen Huynh,josephpreston@tran.com,1533.62,Air Conditioner,751.75,2.0,1503.5,Credit Card,2024-04-04 08:13:12,,Home Appliances,10.0,Cancelled,3.0,,Premium,
TXN-2028,Sarah Wagner,davisrodney@yahoo.com,256.87,Pen Set,170.84,,170.84,PayPal,2023-12-02 10:43:40,Jaipur,Stationery,20.0,Delivered,1.0,,Loyal,No
TXN-2029,Ray Walsh,,91.13,Wireless Mouse,12.8,2.0,25.6,UPI,2025-01-06 20:57:10,Bangalore,Electronics,,,5.0,Yes,Regular,Yes
TXN-2030,Benjamin Ware,davenportbrandi@jordan.com,3628.92,Power Bank,724.1,5.0,3620.5,UPI,2024-08-07 10:29:16,,Electronics,10.0,,2.0,Yes,New,No
TXN-2031,Rebecca Valencia,evelynestrada@yahoo.com,1510.1,Wireless Mouse,720.15,2.0,1440.3,,2025-06-26 03:18:42,Delhi,Electronics,25.0,,5.0,,Premium,Yes
TXN-2032,Shelly Dickson,michellecherry@keith.com,1651.13,Running Shoes,781.2,2.0,1562.4,Credit Card,2025-05-23 07:26:52,Bangalore,Sportswear,25.0,,,,Premium,No
TXN-2033,Rachel Jenkins,erik16@garrison.com,673.37,Running Shoes,632.03,1.0,632.03,Credit Card,2025-07-24 11:10:07,Jaipur,Sportswear,15.0,Pending,4.0,No,New,Yes
TXN-2034,Hannah Hoover,andrewlee@ramirez-jones.com,100.23,T-shirt,28.69,2.0,57.38,UPI,2024-07-27 22:43:45,Delhi,Fashion,20.0,Cancelled,,,Loyal,
TXN-2035,Jennifer Zavala,,287.57,Broom,271.61,1.0,271.61,UPI,2025-01-22 03:52:05,Bangalore,Household,20.0,,1.0,,Loyal,No
TXN-2036,Deborah Rodriguez,jessica56@hotmail.com,1789.74,Notebook,354.75,5.0,1773.75,PayPal,2024-11-29 10:30:28,Pune,Stationery,20.0,Delivered,,No,Regular,
TXN-2037,Steven Lee,zsmith@mcdaniel.com,627.64,Broom,552.62,,552.62,Debit Card,2024-08-07 02:28:17,Kolkata,Household,30.0,Delivered,,No,,No
TXN-2038,Travis Mccall,cortezkevin@yahoo.com,770.43,Router,679.93,,679.93,PayPal,2025-03-30 04:40:33,Chennai,Electronics,30.0,Cancelled,4.0,,New,
TXN-2039,James Phillips,robertbentley@adkins.biz,255.88,Office Desk,161.55,,161.55,,2024-12-27 19:10:51,Bangalore,Furniture,20.0,,5.0,Yes,New,No
TXN-2040,Elizabeth Clark,rramos@gmail.com,1810.68,Leather Wallet,349.61,5.0,1748.05,UPI,2024-11-29 05:51:54,Jaipur,Fashion,,,,Yes,,No
TXN-2041,Steven Flynn,campbellelizabeth@rogers.com,1645.44,Running Shoes,530.49,3.0,1591.47,,2024-04-20 16:29:47,Kolkata,Sportswear,5.0,Pending,,No,Premium,
TXN-2042,Brittany Williams,gibsonolivia@hotmail.com,157.07,Ergonomic Chair,29.3,2.0,58.6,PayPal,2024-03-28 05:25:35,Delhi,Furniture,,,,,Premium,
TXN-2043,Janet Ross,staffordmichelle@osborne.com,1281.54,Power Bank,313.34,4.0,1253.36,,2025-07-14 18:35:06,Mumbai,Electronics,5.0,,2.0,Yes,,No
TXN-2044,Kelly Williams,bryantlaurie@schmidt.info,498.71,Smart Refrigerator,450.35,1.0,450.35,Cash,2025-02-16 01:33:29,,Home Appliances,25.0,,5.0,,,No
TXN-2045,Stephanie Simmons,juliawells@yahoo.com,800.19,Mop,362.27,2.0,724.54,Cash,2025-06-04 03:01:34,Jaipur,Household,,Pending,,No,,No
TXN-2046,Mark Cannon,joshuajones@yahoo.com,808.36,Table Cloth,199.0,4.0,796.0,UPI,2024-04-28 08:10:05,Pune,Home Decor,20.0,Cancelled,3.0,,Regular,Yes
TXN-2047,Francisco Fernandez,jessebenson@lewis.info,212.22,Ergonomic Chair,192.7,,192.7,Debit Card,2024-09-16 03:29:04,Delhi,Furniture,30.0,,3.0,,Loyal,No
TXN-2048,Ross Price,wwoods@molina-castaneda.biz,735.6,Smart Refrigerator,173.4,4.0,693.6,PayPal,2024-12-20 06:02:58,Mumbai,Home Appliances,,,1.0,No,New,No
TXN-2049,Kimberly Morrison,brobinson@johnson-rogers.biz,492.07,Baby Stroller,435.19,,435.19,PayPal,2025-05-13 16:36:37,Pune,Baby Products,,Pending,3.0,No,Loyal,Yes
TXN-2050,John Anderson,qvargas@miller.com,356.36,Handbag,275.54,,275.54,,2025-09-01 12:10:17,Bangalore,Accessories,,Pending,5.0,,Regular,No
TXN-2051,Anthony Gray,wmurphy@ramirez-bean.biz,468.85,Wall Clock,455.87,1.0,455.87,Cash,2024-05-12 03:34:23,Bangalore,Home Decor,,Pending,1.0,No,Loyal,No
TXN-2052,Julie Curry,jeffrey10@herring.com,1184.95,Leather Wallet,369.21,3.0,1107.63,Cash,2025-02-22 19:25:38,Chennai,Fashion,30.0,Cancelled,1.0,No,Regular,
TXN-2053,Cameron Caldwell,xlyons@jackson-lawson.com,179.75,Broom,51.15,3.0,153.45,Credit Card,2025-06-24 07:58:57,Mumbai,Household,0.0,Pending,2.0,Yes,,Yes
TXN-2054,Traci Rodriguez,barbara66@gonzalez.com,125.58,Jacket,109.71,,109.71,Debit Card,2024-01-16 08:28:08,Jaipur,Fashion,20.0,Cancelled,2.0,,,
TXN-2055,Elizabeth Sutton,reedross@jones-holland.com,1345.57,LED Lamp,624.46,2.0,1248.92,Credit Card,2025-08-19 02:07:43,Mumbai,Furniture,20.0,,4.0,,Premium,Yes
TXN-2056,John Hamilton,,583.66,Wall Clock,555.59,,555.59,,2025-05-21 03:49:37,Chennai,Home Decor,5.0,Delivered,3.0,,Loyal,
TXN-2057,Marie Gilbert,ugraham@hotmail.com,101.9,Wrist Watch,64.48,,64.48,Cash,2024-05-24 16:08:47,Jaipur,Accessories,5.0,,3.0,,Loyal,
TXN-2058,David Michael,dsanchez@hotmail.com,408.6,Ergonomic Chair,354.03,,354.03,,2025-02-14 06:17:55,Chennai,Furniture,,,4.0,,,No
TXN-2059,Gabrielle Snyder,tonykelly@yahoo.com,714.35,Notebook,682.85,1.0,682.85,Cash,2024-07-19 13:16:01,Pune,Stationery,,,3.0,Yes,Loyal,No
TXN-2060,Kyle Beard,christophercortez@peters-allen.info,1266.27,Dumbbell Set,395.16,3.0,1185.48,UPI,2025-03-13 21:23:37,Chennai,Sportswear,20.0,Delivered,5.0,Yes,Regular,Yes
TXN-2061,Joan Smith,richardsanchez@hotmail.com,862.57,Baby Stroller,395.98,2.0,791.96,,2025-01-22 21:52:22,Jaipur,Baby Products,,Delivered,1.0,No,Premium,No
TXN-2062,Juan Cooper,jacqueline44@yahoo.com,262.46,Power Bank,202.21,,202.21,Cash,2024-04-25 06:25:54,,Electronics,25.0,,,,New,No
TXN-2063,Corey Wilson,javierwashington@lawrence.com,1134.26,Power Bank,368.46,3.0,1105.38,Credit Card,2025-08-05 22:12:31,Pune,Electronics,25.0,Delivered,,,Premium,Yes
TXN-2064,Darren White,joshuamccann@carter.info,1854.34,Leather Wallet,593.5,3.0,1780.5,PayPal,2024-01-16 21:15:48,Chennai,Fashion,5.0,Pending,3.0,Yes,New,Yes
TXN-2065,Laura Harrison,jack04@yahoo.com,122.93,Hair Serum,21.18,5.0,105.9,Credit Card,2024-01-25 19:37:46,Mumbai,Beauty,20.0,Pending,,No,Regular,Yes
TXN-2066,Jennifer Jones,edwardhart@miller-wright.net,985.36,Curtains,234.63,4.0,938.52,Debit Card,2025-06-13 23:08:59,Mumbai,Home Decor,20.0,,1.0,Yes,Loyal,No
TXN-2067,Kyle Montgomery,tkerr@hotmail.com,475.94,Vacuum Cleaner,465.85,,465.85,Debit Card,2024-09-26 06:51:31,Chennai,Home Appliances,5.0,Pending,1.0,,Loyal,
TXN-2068,Marc Lynch,colleenbaker@moore.net,1348.07,Cushion Cover,634.69,2.0,1269.38,Cash,2023-12-26 12:12:06,Jaipur,Home Decor,,Cancelled,5.0,No,New,
TXN-2069,Jason Norris,antonio44@hotmail.com,72.01,Candles Set,57.58,,57.58,Debit Card,2025-08-26 21:07:19,Pune,Home Decor,20.0,Delivered,2.0,Yes,Premium,
TXN-2070,Michael Bradshaw,owilson@hernandez.com,582.44,Vacuum Cleaner,133.66,4.0,534.64,PayPal,2024-03-06 01:54:57,Jaipur,Home Appliances,20.0,Delivered,2.0,No,New,
TXN-2071,Linda Holloway,smartinez@yahoo.com,225.23,Olive Oil,66.23,2.0,132.46,,2025-04-24 16:52:20,Pune,Groceries,30.0,Delivered,5.0,Yes,Premium,No
TXN-2072,Dillon Fernandez,georgepamela@hotmail.com,213.12,Ergonomic Chair,66.41,2.0,132.82,PayPal,2024-07-05 13:24:03,Chennai,Furniture,,Delivered,4.0,,New,
TXN-2073,Allison Perez,barbara27@pearson.org,3829.85,Sunglasses,754.71,5.0,3773.55,Cash,2024-10-01 18:22:34,Delhi,Accessories,0.0,,,No,,No
TXN-2074,Katherine Davis,qcook@gmail.com,166.57,Bluetooth Speaker,82.15,,82.15,PayPal,2025-08-25 10:11:41,Mumbai,Electronics,20.0,Delivered,,No,,
TXN-2075,Jason Simpson,gibsonleonard@yahoo.com,1567.11,Organic Soap,733.7,2.0,1467.4,Cash,2024-01-27 05:49:34,Jaipur,Groceries,5.0,,3.0,No,New,No
TXN-2076,Jennifer Robertson,mgutierrez@cox.com,221.59,Router,92.63,2.0,185.26,,2024-04-04 07:29:30,Jaipur,Electronics,20.0,,5.0,Yes,Loyal,Yes
TXN-2077,Carlos Roberts,,306.57,Notebook,209.4,1.0,209.4,Cash,2025-05-02 12:12:07,,Stationery,0.0,,4.0,Yes,Premium,
TXN-2078,Juan Tran,,2071.93,Wrist Watch,501.88,4.0,2007.52,Credit Card,2024-11-19 07:17:01,Pune,Accessories,20.0,Pending,,No,Loyal,Yes
TXN-2079,Dorothy Thornton,pbaird@yahoo.com,3974.88,Bluetooth Speaker,778.79,5.0,3893.95,,2024-12-30 09:13:01,Bangalore,Electronics,20.0,Delivered,5.0,No,Regular,Yes
TXN-2080,Connor Greene,hillkristy@morgan-french.com,441.07,LED Lamp,374.54,1.0,374.54,Debit Card,2025-07-27 13:02:31,Jaipur,Furniture,20.0,Cancelled,4.0,No,Loyal,Yes
TXN-2081,Nicholas Monroe,seanwashington@yahoo.com,1805.11,Olive Oil,445.5,4.0,1782.0,PayPal,2024-12-30 21:22:38,,Groceries,10.0,Delivered,3.0,No,New,
TXN-2082,Jamie Cantu,ashleyhall@williams-garner.biz,2048.66,Perfume,658.23,3.0,1974.69,PayPal,2024-08-24 01:55:14,Jaipur,Beauty,10.0,,5.0,No,New,No
TXN-2083,Rebecca Pearson MD,waynelawrence@sawyer.com,2498.94,Mop,612.67,4.0,2450.68,UPI,2024-12-10 17:19:47,Pune,Household,15.0,,2.0,No,Regular,No
TXN-2084,Alexis Thomas,harrisontanya@hanson-sanders.com,2310.2,Pasta Pack,567.13,4.0,2268.52,,2025-08-20 18:56:49,Bangalore,Groceries,,Delivered,2.0,,,No
TXN-2085,Michael Ferguson,cbrennan@hotmail.com,2816.91,Air Conditioner,700.61,4.0,2802.44,Cash,2023-12-21 08:20:46,Mumbai,Home Appliances,10.0,,,Yes,Regular,No
TXN-2086,Michael Mitchell,hamiltoncorey@padilla.com,320.22,Sneakers,277.46,,277.46,Credit Card,2025-09-29 21:56:10,Kolkata,Fashion,30.0,Cancelled,,,Loyal,
TXN-2087,Frederick Brown,ryan38@yahoo.com,1060.54,Wireless Mouse,497.79,2.0,995.58,UPI,2025-01-10 18:33:17,Pune,Electronics,5.0,,1.0,,Regular,No
TXN-2088,Catherine Thompson,tyleraguilar@gmail.com,567.63,Running Shoes,558.26,1.0,558.26,Credit Card,2024-10-21 09:20:54,Chennai,Sportswear,25.0,Cancelled,4.0,Yes,Premium,
TXN-2089,Julia Estrada,erica21@yahoo.com,935.31,Baby Stroller,457.08,2.0,914.16,Credit Card,2024-07-23 14:42:04,Hyderabad,Baby Products,15.0,,5.0,Yes,Premium,No
TXN-2090,Elizabeth Hayden DDS,james67@gmail.com,700.27,Table Cloth,210.64,3.0,631.92,Cash,2024-04-30 10:43:33,Chennai,Home Decor,10.0,Delivered,4.0,No,,No
TXN-2091,Ian Phillips,spencedominique@yahoo.com,798.76,Table Cloth,770.0,,770.0,UPI,2023-11-04 11:50:53,Pune,Home Decor,30.0,,1.0,Yes,Loyal,
TXN-2092,Melissa Garner,swall@lawson.com,497.15,Planner,464.1,,464.1,,2025-03-06 16:18:30,Hyderabad,Stationery,20.0,Delivered,5.0,,Regular,
TXN-2093,David Campos,bergerdebbie@kramer-johnson.com,2082.52,Detergent,667.94,3.0,2003.82,Debit Card,2025-05-20 01:04:00,Kolkata,Household,15.0,Pending,5.0,No,Premium,
TXN-2094,Theodore Murphy,jamesbuchanan@yahoo.com,732.44,Air Conditioner,723.69,,723.69,Cash,2024-12-14 12:41:47,Mumbai,Home Appliances,25.0,Pending,1.0,No,New,
TXN-2095,Denise Martin,julie51@yahoo.com,377.24,Baby Stroller,148.76,2.0,297.52,UPI,2023-12-26 16:34:22,,Baby Products,20.0,Pending,3.0,No,New,
TXN-2096,Vincent Dalton,christopher60@yahoo.com,2677.83,Pen Set,645.34,4.0,2581.36,Debit Card,2024-12-18 23:19:26,Pune,Stationery,30.0,Cancelled,1.0,No,Regular,No
TXN-2097,Jacob Curry,xcarson@gmail.com,391.84,Broom,107.64,3.0,322.92,,2025-04-05 08:45:22,Chennai,Household,30.0,Cancelled,1.0,,Premium,No
TXN-2098,Alexander Henson,deborahreid@yahoo.com,2533.36,Bluetooth Speaker,499.44,5.0,2497.2,PayPal,2025-10-04 13:06:19,Pune,Electronics,5.0,,,No,Loyal,
TXN-2099,Marie Wilson,torrestravis@young.com,79.73,Office Desk,45.82,1.0,45.82,Cash,2024-08-26 01:46:28,Delhi,Furniture,5.0,Pending,5.0,Yes,Loyal,No
TXN-2100,Michael Paul,nicolepena@yahoo.com,610.85,Wrist Watch,539.68,,539.68,PayPal,2025-02-18 09:28:48,Hyderabad,Accessories,10.0,,,Yes,Loyal,
TXN-2101,Trevor Johnson,scottsampson@yahoo.com,2263.66,Baby Stroller,751.85,3.0,2255.55,UPI,2024-01-14 08:59:43,Pune,Baby Products,,,2.0,No,Regular,
TXN-2102,Mrs. Stephanie Newman,hhill@davis-lewis.org,479.2,Wrist Watch,440.13,,440.13,Cash,2023-11-14 19:01:22,Chennai,Accessories,15.0,Delivered,4.0,Yes,Premium,
TXN-2103,Gavin Zhang,gallegosangela@robinson.com,491.55,Table Cloth,481.75,1.0,481.75,UPI,2025-07-02 18:16:34,Pune,Home Decor,10.0,Pending,1.0,,Premium,
TXN-2104,April Garrison,amberlindsey@guerrero.com,1340.83,Leather Wallet,652.31,2.0,1304.62,Debit Card,2023-11-09 17:54:27,Mumbai,Fashion,20.0,Pending,2.0,,New,Yes
TXN-2105,Richard Chapman,josephmartinez@fox-reese.info,549.76,LED Lamp,532.24,1.0,532.24,UPI,2024-10-11 09:20:48,Pune,Furniture,25.0,Delivered,2.0,No,Regular,Yes
TXN-2106,Kayla Rodriguez,acostaregina@boyd.com,436.65,Baby Stroller,425.61,,425.61,Cash,2024-11-04 05:45:39,Kolkata,Baby Products,5.0,,5.0,Yes,,Yes
TXN-2107,Jessica Rodriguez,lammarc@gmail.com,1753.92,Router,421.95,4.0,1687.8,Credit Card,2023-12-19 05:17:48,Mumbai,Electronics,,,4.0,,Regular,No
TXN-2108,Marcus Richards,hvang@yahoo.com,103.66,Organic Soap,68.06,1.0,68.06,Debit Card,2024-10-15 14:45:34,Delhi,Groceries,10.0,Cancelled,5.0,,,
TXN-2109,Jessica Mcguire,russellbeasley@morgan-chavez.biz,1609.95,Notebook,310.91,5.0,1554.55,Cash,2025-05-17 21:51:14,,Stationery,30.0,Delivered,,Yes,,
TXN-2110,Jeffery Ortega,gloriawells@gmail.com,743.83,Leather Wallet,349.76,2.0,699.52,Cash,2025-08-05 06:14:34,Hyderabad,Fashion,30.0,Delivered,3.0,No,New,
TXN-2111,Jeffrey Garner,angelawillis@hotmail.com,681.65,Sneakers,305.7,2.0,611.4,Cash,2025-01-07 11:25:41,Delhi,Fashion,5.0,Delivered,1.0,No,Regular,
TXN-2112,Bryan Gomez,schmittcaroline@yahoo.com,3267.2,Wrist Watch,651.3,5.0,3256.5,PayPal,2024-01-17 16:08:44,,Accessories,25.0,Delivered,4.0,No,Loyal,
TXN-2113,Christy Douglas,bellangela@farmer.com,3909.83,Smart Refrigerator,775.03,5.0,3875.15,Credit Card,2025-07-17 04:35:17,,Home Appliances,15.0,Pending,,No,Premium,Yes
TXN-2114,Justin Saunders,anthony44@bell-white.com,2049.46,Planner,677.85,3.0,2033.55,UPI,2025-01-11 01:52:53,Pune,Stationery,30.0,Delivered,5.0,,New,Yes
TXN-2115,Andrea Figueroa,reesejason@chavez-moore.com,770.19,Dumbbell Set,225.88,3.0,677.64,UPI,2025-05-11 16:24:53,Mumbai,Sportswear,10.0,Pending,5.0,,Loyal,Yes
TXN-2116,Todd Carlson,ericwilliamson@miller.org,609.09,Ergonomic Chair,595.37,1.0,595.37,PayPal,2024-10-06 13:11:31,Pune,Furniture,30.0,,4.0,No,Premium,No
TXN-2117,Daniel Hunt,rrodriguez@hotmail.com,2961.94,Hair Serum,580.06,5.0,2900.3,Credit Card,2025-01-31 21:42:53,Bangalore,Beauty,10.0,Delivered,,Yes,New,No
TXN-2118,Mr. Andrew Foster,harrissierra@duran.com,1771.84,Router,344.97,5.0,1724.85,UPI,2024-01-30 09:33:41,Pune,Electronics,5.0,Cancelled,4.0,Yes,New,
TXN-2119,Paul Thompson,vincentwhitaker@yahoo.com,2461.28,Keyboard,478.58,5.0,2392.9,Credit Card,2023-12-24 04:28:32,Pune,Electronics,30.0,Delivered,1.0,Yes,New,Yes
TXN-2120,Patrick Graham,,1877.24,Office Desk,613.69,3.0,1841.07,Credit Card,2024-09-07 07:52:48,Jaipur,Furniture,,Pending,2.0,No,,
TXN-2121,Jennifer Wilson,george97@gillespie.com,486.8,T-shirt,405.21,,405.21,Credit Card,2024-10-01 14:29:24,Hyderabad,Fashion,0.0,,1.0,No,Regular,No
TXN-2122,Kelly Foster,jeffrey21@hotmail.com,1468.92,Curtains,349.13,4.0,1396.52,Cash,2025-03-04 01:03:16,Chennai,Home Decor,5.0,,1.0,No,Premium,
TXN-2123,Jordan Bullock,jessica23@gmail.com,2015.27,Olive Oil,667.3,3.0,2001.9,Credit Card,2024-02-19 22:48:33,Pune,Groceries,30.0,,5.0,Yes,Loyal,No
TXN-2124,Christopher Hernandez,stephanieburton@webster-wolf.info,382.34,Pen Set,185.04,2.0,370.08,,2025-04-10 06:08:21,Delhi,Stationery,15.0,Cancelled,3.0,,Premium,Yes
TXN-2125,Kristy Reid,edward17@yahoo.com,272.86,Air Conditioner,125.69,2.0,251.38,Debit Card,2025-03-02 14:45:46,Delhi,Home Appliances,10.0,,4.0,,,No
TXN-2126,Donald Brown,steven00@decker-jones.com,3766.48,Keyboard,740.08,5.0,3700.4,PayPal,2025-02-17 21:28:42,Kolkata,Electronics,25.0,Pending,4.0,Yes,Loyal,No
TXN-2127,Janice Carpenter,kstout@lopez.com,808.87,Table Cloth,249.23,3.0,747.69,UPI,2024-10-13 03:15:02,,Home Decor,5.0,Cancelled,4.0,No,Regular,Yes
TXN-2128,Steven Cooper,benjaminzimmerman@warren-bishop.com,733.28,Wrist Watch,667.04,1.0,667.04,Credit Card,2024-08-13 19:21:20,,Accessories,30.0,,5.0,,Regular,No
TXN-2129,Jasmine Schroeder,cameron18@hughes.org,1637.33,Curtains,524.95,3.0,1574.85,PayPal,2025-09-06 12:00:14,Bangalore,Home Decor,0.0,,1.0,No,Regular,
TXN-2130,Brad Alvarado,tammy62@hotmail.com,364.86,Smartphone,146.32,2.0,292.64,Cash,2025-05-01 18:30:53,,Electronics,10.0,Cancelled,3.0,No,Loyal,
TXN-2131,Emily Bennett,elizabethcalderon@hotmail.com,626.31,Pen Set,546.33,1.0,546.33,,2025-04-13 13:56:32,Kolkata,Stationery,5.0,Cancelled,,,Loyal,No
TXN-2132,Anna Santiago,coxhenry@gmail.com,678.37,Sneakers,581.75,,581.75,PayPal,2024-07-20 15:14:37,Bangalore,Fashion,25.0,Delivered,5.0,,Premium,No
TXN-2133,Katelyn Perez,chrisrichard@romero.net,842.38,Hair Serum,774.48,,774.48,Debit Card,2023-11-27 12:33:19,Delhi,Beauty,20.0,,,No,Premium,
TXN-2134,Sherri Williamson,francisguerra@hotmail.com,764.61,Power Bank,664.88,,664.88,PayPal,2025-07-18 14:33:32,Delhi,Electronics,30.0,Cancelled,1.0,No,New,Yes
TXN-2135,Michelle Williams,tarabishop@hotmail.com,1143.12,Leather Wallet,279.97,4.0,1119.88,Debit Card,2025-06-28 23:59:19,Bangalore,Fashion,5.0,Cancelled,1.0,,,
TXN-2136,Joseph Collins,michealvalentine@yahoo.com,207.72,Laundry Basket,39.82,3.0,119.46,PayPal,2024-10-21 19:13:46,Bangalore,Household,30.0,Pending,2.0,Yes,,Yes
TXN-2137,Paula Shaw,lisasolis@gmail.com,202.81,Organic Soap,44.52,3.0,133.56,Debit Card,2025-09-06 06:49:35,Jaipur,Groceries,20.0,,2.0,,Premium,No
TXN-2138,Martin Sawyer,mitchellkathryn@cole-palmer.biz,1488.22,Pasta Pack,724.14,2.0,1448.28,PayPal,2024-01-08 10:33:21,Jaipur,Groceries,,Cancelled,4.0,,,No
TXN-2139,Courtney Hayes,,3294.85,Running Shoes,655.34,5.0,3276.7,UPI,2024-04-29 08:06:46,Mumbai,Sportswear,,Cancelled,5.0,Yes,,Yes
TXN-2140,Brad Walker,combsdebra@gmail.com,183.44,Lipstick,76.26,2.0,152.52,PayPal,2024-02-13 01:56:00,Bangalore,Beauty,30.0,Delivered,2.0,No,New,Yes
TXN-2141,Thomas Kennedy,awest@smith.com,300.88,Baby Stroller,52.07,5.0,260.35,Cash,2024-12-28 11:20:37,Delhi,Baby Products,25.0,Pending,1.0,No,Regular,
